# WITHHELD FROM THE CODER. The A/B-to-R1/R2 mapping and the
# reviewer models for each pair. Opening this during a coding
# pass voids the blind; unblind_adjudication.py reads it after.
row_id,line_no,date,date_raw,era,era_straddled,recorded_byte,recorded_parity,blind_byte,blind_parity,a_slot,b_slot,a_model,b_model,assignment_source
K1,3802,2026-09-03,2026-09-03,post-5.1,False,136,0,212,0,R1,R2,opus,fable,parsed
K2,3806,2026-09-03,2026-09-03,post-5.1,False,128,0,114,0,R1,R2,opus,fable,parsed
K3,3810,2026-09-03,2026-09-03,post-5.1,False,124,0,23,1,R2,R1,fable,opus,parsed
PROPS-1,3893,2026-09-05,2026-09-05,post-5.1,False,242,0,69,1,R2,R1,fable,opus,parsed
Span,3894,2026-09-05,2026-09-05,post-5.1,False,46,0,124,0,R1,R2,opus,fable,parsed
k-stats,3895,2026-09-05,2026-09-05,post-5.1,False,200,0,218,0,R1,R2,opus,fable,parsed
coeffs,3896,2026-09-05,2026-09-05,post-5.1,False,25,1,117,1,R2,R1,opus,fable,parsed
SHELL-1,3974,2026-09-04,2026-09-04,post-5.1,False,99,1,197,1,R2,R1,opus,fable,parsed
SHELL-2,3978,2026-09-04,2026-09-04,post-5.1,False,96,0,84,0,R1,R2,opus,fable,parsed
RC-1,3979,2026-09-04,2026-09-04,post-5.1,False,74,,101,1,R2,R1,fable,opus,parsed
SHELL-5,3983,2026-09-08,2026-09-08,post-5.1,False,13,1,131,1,R2,R1,opus,fable,parsed
SHELL-6,3987,2026-09-08,2026-09-08,post-5.1,False,29,1,6,0,R1,R2,fable,opus,parsed
SHELL-7,3991,2026-09-08,2026-09-08,post-5.1,False,135,1,144,0,R1,R2,fable,opus,parsed
SHELL-8,3995,2026-09-08,2026-09-08,post-5.1,False,10,0,168,0,R1,R2,opus,fable,parsed
SHELL-9,3999,2026-09-08,2026-09-08,post-5.1,False,119,1,9,1,R2,R1,opus,fable,parsed
SHELL-10,4003,2026-09-08,2026-09-08,post-5.1,False,14,0,161,1,R2,R1,fable,opus,parsed
C5A2,4177,2026-09-05,2026-09-05,post-5.1,False,140,0,47,1,R2,R1,fable,opus,parsed
T3A,4243,2026-09-07,2026-09-07,post-5.1,False,237,1,122,0,R1,R2,fable,opus,parsed
TBOX,4247,2026-09-07,2026-09-07,post-5.1,False,107,1,83,1,R2,R1,opus,fable,parsed
T1,4251,2026-09-07,2026-09-07,post-5.1,False,95,1,14,0,R1,R2,fable,opus,parsed
WB-1,4305,2026-09-04,2026-09-04,post-5.1,False,208,,212,0,R1,R2,opus,fable,parsed
H4,4306,2026-09-04,2026-09-04,post-5.1,False,146,0,193,1,R2,R1,fable,opus,parsed
DOCM-4,4573,2026-09-04,2026-09-04,post-5.1,False,15,1,66,0,R1,R2,fable,opus,parsed
DOCM-3,4577,2026-09-04,2026-09-04,post-5.1,False,85,1,184,0,R1,R2,fable,opus,parsed
DOCM-1,4581,2026-09-04,2026-09-04,post-5.1,False,83,1,184,0,R1,R2,fable,opus,parsed
DOCM-2,4585,2026-09-04,2026-09-04,post-5.1,False,67,1,99,1,R2,R1,opus,fable,parsed
DOCM-7,4593,2026-09-06,2026-09-06,post-5.1,False,165,1,120,0,R1,R2,fable,opus,parsed
DOCM-6,4597,2026-09-06,2026-09-06,post-5.1,False,76,0,56,0,R1,R2,opus,fable,parsed
DOCM-8,4601,2026-09-07,2026-09-07,post-5.1,False,14,0,71,1,R2,R1,fable,opus,parsed
RIM,4632,2026-09-05,2026-09-05,post-5.1,False,127,1,109,1,R2,R1,opus,fable,parsed
H5,4662,2026-09-05,2026-09-05,post-5.1,False,110,0,147,1,R2,R1,fable,opus,parsed
ATTR,4716,2026-09-05,2026-09-05,post-5.1,False,43,1,100,0,R1,R2,fable,opus,parsed
H6,4720,2026-09-05,2026-09-05,post-5.1,False,211,1,201,1,R2,R1,opus,fable,parsed
H7,4724,2026-09-05,2026-09-05,post-5.1,False,115,1,168,0,R1,R2,fable,opus,parsed
T,4820,2026-09-05,2026-09-05,post-5.1,False,129,1,137,1,R2,R1,opus,fable,parsed
SPLIT,4894,2026-09-05,2026-09-05,post-5.1,False,203,1,81,1,R2,R1,opus,fable,parsed
G17,4996,2026-09-08,2026-09-08,post-5.1,False,218,0,33,1,R2,R1,fable,opus,parsed
TEAPOT,5065,2026-09-08,2026-09-08,post-5.1,False,80,0,85,1,R2,R1,fable,opus,parsed
PERF-1,5129,2026-09-10,2026-09-10,post-5.1,False,166,0,251,1,R2,R1,fable,opus,parsed
PERF-3,5130,2026-09-10,2026-09-10,post-5.1,False,95,1,128,0,R1,R2,fable,opus,parsed
PERF-2,5131,2026-09-11,2026-09-11,post-5.1,False,240,0,5,1,R2,R1,fable,opus,parsed
PERF-4,5168,2026-09-11,2026-09-11,post-5.1,False,243,1,236,0,R1,R2,fable,opus,parsed
PERF-5,5169,2026-09-12,2026-09-12,post-5.1,False,120,0,120,0,R1,R2,opus,fable,parsed
PERF-6,5170,2026-09-12,2026-09-12,post-5.1,False,109,1,122,0,R1,R2,fable,opus,parsed
