row_id,protocol,milestone,date,difficulty,arm,blinded_lane,maj,min,note,silent,idiom,tests,docs,task_class,instrument
OFFA,v4,VERBS,2026-08-25,S,fable,1,0,3,3,0,5,4,4,NA,v5
GATE,v4,VERBS,2026-08-26,M,opus,1,2,5,NA,1,5,4,4,NA,v5
OFFC,v4,VERBS,2026-08-26,L,opus,1,0,3,3,0,5,4,5,NA,v5
M9-3,v4,M9,2026-08-26,L,fable,1,NA,NA,NA,NA,NA,NA,NA,structural,v5
CYLCYL-A,v4,VERBS,2026-08-26,L,opus,1,1,2,3,1,5,4,4,NA,v5
M9-5,v4,M9,2026-08-26,M,opus,0,NA,NA,NA,0,5,5,5,structural,v5
ARMS3,v4,VERBS,2026-08-26,M,opus,1,0,1,3,0,5,4,5,NA,v5
OFFD1,v4,VERBS,2026-08-26,M,opus,1,2,4,5,0,3,4,4,NA,v5
TESSF,v4,VERBS,2026-08-26,M,fable,1,0,1,3,0,5,5,4,NA,v5
CYLCYL-B,v4,VERBS,2026-08-27,M,opus,1,0,4,5,0,4,4,4,NA,v5
