# perf-gui stage timings — release profile
# reps = 3, tol = witness, budget δ chosen by scene::fit_delta
# die: landing = Landed
# die: landing = Landed
# die: landing = Landed

## die — 84 nodes, δ = 1.000e-4 m, 348 triangles
| stage | median ms | ± % |
|   of which: run_checks_on (advisory registry) | 3.43 | 3.2 |
| fit_delta: probe tessellation (open only) | 3.72 | 1.3 |
| INDEX build total (tessellate + BVH + id map) | 38.73 | 1.1 |
|   of which: mesh::tessellate (whole model) | 28.11 | 0.9 |
| scene: scene_focused (GPU vertex assembly) | 0.57 | 56.5 |
| == EDIT→PICTURE TOTAL == | 49.76 | 0.0 |
# measured_web: landing = Landed
# measured_web: landing = Landed
# measured_web: landing = Landed

## measured_web — 9 nodes, δ = 1.000e-4 m, 12 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.12 | 77.4 |
| eval: edit WITH prior (memo) | 0.05 | 12.6 |
| eval: edit WITHOUT prior | 0.10 | 10.1 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 109.4 |
| land: gather + checks registry + A5 badge | 0.04 | 4.9 |
|   of which: product_recorded (the gather) | 0.03 | 25.5 |
|   of which: run_checks_on (advisory registry) | 0.00 | 161.3 |
| fit_delta: probe tessellation (open only) | 0.01 | 64.2 |
| INDEX build total (tessellate + BVH + id map) | 0.02 | 18.2 |
|   of which: mesh::tessellate (whole model) | 0.01 | 4.4 |
| scene: scene_focused (GPU vertex assembly) | 0.00 | 159.9 |
| == EDIT→PICTURE TOTAL == | 0.11 | 0.0 |
# boss_union: landing = Landed
# boss_union: landing = Landed
# boss_union: landing = Landed

## boss_union — 7 nodes, δ = 1.000e-4 m, 756 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.58 | 12.8 |
| eval: edit WITH prior (memo) | 0.39 | 4.6 |
| eval: edit WITHOUT prior | 0.44 | 5.6 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 19.3 |
| land: gather + checks registry + A5 badge | 0.11 | 17.9 |
|   of which: product_recorded (the gather) | 0.10 | 21.1 |
|   of which: run_checks_on (advisory registry) | 0.00 | 116.3 |
| fit_delta: probe tessellation (open only) | 0.40 | 9.2 |
| INDEX build total (tessellate + BVH + id map) | 1.18 | 1.5 |
|   of which: mesh::tessellate (whole model) | 1.02 | 7.6 |
| scene: scene_focused (GPU vertex assembly) | 0.01 | 303.5 |
| == EDIT→PICTURE TOTAL == | 1.69 | 0.0 |
# die_fillet: landing = Landed
# die_fillet: landing = Landed
# die_fillet: landing = Landed

## die_fillet — 4 nodes, δ = 1.000e-4 m, 16716 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.46 | 19.9 |
| eval: edit WITH prior (memo) | 0.47 | 2.3 |
| eval: edit WITHOUT prior | 0.47 | 5.3 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.02 | 12.9 |
| land: gather + checks registry + A5 badge | 0.36 | 11.0 |
|   of which: product_recorded (the gather) | 0.30 | 5.9 |
|   of which: run_checks_on (advisory registry) | 0.01 | 43.0 |
| fit_delta: probe tessellation (open only) | 1.05 | 6.4 |
| INDEX build total (tessellate + BVH + id map) | 12.80 | 1.3 |
|   of which: mesh::tessellate (whole model) | 7.62 | 1.2 |
| scene: scene_focused (GPU vertex assembly) | 0.25 | 12.0 |
| == EDIT→PICTURE TOTAL == | 13.91 | 0.0 |
# die_chamfer: landing = Landed
# die_chamfer: landing = Landed
# die_chamfer: landing = Landed

## die_chamfer — 4 nodes, δ = 1.000e-4 m, 44 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.34 | 9.6 |
| eval: edit WITH prior (memo) | 0.32 | 5.3 |
| eval: edit WITHOUT prior | 0.33 | 5.4 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.02 | 15.6 |
| land: gather + checks registry + A5 badge | 0.19 | 10.1 |
|   of which: product_recorded (the gather) | 0.15 | 1.5 |
|   of which: run_checks_on (advisory registry) | 0.01 | 44.7 |
| fit_delta: probe tessellation (open only) | 0.05 | 17.6 |
| INDEX build total (tessellate + BVH + id map) | 0.09 | 9.6 |
|   of which: mesh::tessellate (whole model) | 0.05 | 19.7 |
| scene: scene_focused (GPU vertex assembly) | 0.00 | 102.5 |
| == EDIT→PICTURE TOTAL == | 0.61 | 0.0 |
# die_pips: landing = Landed
# die_pips: landing = Landed
# die_pips: landing = Landed

## die_pips — 9 nodes, δ = 1.000e-4 m, 4002 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.43 | 23.3 |
| eval: edit WITH prior (memo) | 0.27 | 6.2 |
| eval: edit WITHOUT prior | 0.32 | 10.4 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 14.9 |
| land: gather + checks registry + A5 badge | 0.08 | 2.8 |
|   of which: product_recorded (the gather) | 0.09 | 24.6 |
|   of which: run_checks_on (advisory registry) | 0.00 | 100.0 |
| fit_delta: probe tessellation (open only) | 0.26 | 15.6 |
| INDEX build total (tessellate + BVH + id map) | 2.72 | 0.9 |
|   of which: mesh::tessellate (whole model) | 1.77 | 0.8 |
| scene: scene_focused (GPU vertex assembly) | 0.05 | 10.3 |
| == EDIT→PICTURE TOTAL == | 3.14 | 0.0 |
# heat_sink_fins: landing = Landed
# heat_sink_fins: landing = Landed
# heat_sink_fins: landing = Landed

## heat_sink_fins — 4 nodes, δ = 1.000e-4 m, 60 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.24 | 10.2 |
| eval: edit WITH prior (memo) | 0.21 | 4.7 |
| eval: edit WITHOUT prior | 0.22 | 10.1 |
